1,"DZA","Algeria","0.01",7.44,47.3,0.46,0,0,0.13 
2,"AGO","Angola","0.00",6.79,"NULL",0.21,1,0,0.28 
3,"BEN","Benin","-0.01",7.02,38.9,0.27,1,0,0.05 
4,"BWA","Botswana","0.06",6.28,45.7,0.42,1,0,0.07 
5,"HVO","Burkina Faso","0.00",6.15,36.3,0.08,1,0,0.05 
6,"BDI","Burundi","0.00",6.38,41.8,0.18,1,0,0
78,"BDIA","Burundi","0.00",6.38,41.8,0.18,1,0,0
